order;phase;slice_id;title;objective;status;depends_on
1;F0-BOOTSTRAP;VS-000;Governance bootstrap;Subir plan, gobierno, templates y validación.;PLANNED;
2;F0-BOOTSTRAP;VS-001;Backlog and GitHub Project;Crear issues, labels, milestones y campos.;PLANNED;VS-000
3;F0-BOOTSTRAP;VS-002;CI provider abstraction;Configurar Actions, self-hosted, CircleCI y evidencia local.;PLANNED;VS-001
4;F1-FOUNDATION;VS-010;Solution baseline;Crear solución, build, lint y tests.;PLANNED;VS-002
5;F1-FOUNDATION;VS-011;Architecture boundaries;Crear Domain, Application e Infrastructure con fitness tests.;PLANNED;VS-010
6;F1-FOUNDATION;VS-012;SQLite persistence;Migrations, WAL, single writer y backup.;PLANNED;VS-011
7;F1-FOUNDATION;VS-013;Artifact store;Filesystem seguro, hashes y versiones.;PLANNED;VS-012
8;F1-FOUNDATION;VS-014;API and health;API, liveness, readiness y diagnostics.;PLANNED;VS-013
9;F1-FOUNDATION;VS-015;Control Center shell;Navegación, estado y configuración.;PLANNED;VS-014
10;F1-FOUNDATION;VS-016;Observability baseline;OpenTelemetry end-to-end.;PLANNED;VS-015
11;F2-MCP;VS-020;MCP initialize;Negociación de protocolo y capabilities.;PLANNED;VS-016
12;F2-MCP;VS-021;book-core server;Tools core, resources y contract tests.;PLANNED;VS-020
13;F2-MCP;VS-022;book-authoring server;Tools de autoría y schemas.;PLANNED;VS-021
14;F2-MCP;VS-023;book-quality server;Auditoría, gates y memoria.;PLANNED;VS-022
15;F2-MCP;VS-024;book-production server;Assets, render y release.;PLANNED;VS-023
16;F2-MCP;VS-025;book-ops server;Autopilot y diagnostics.;PLANNED;VS-024
17;F2-MCP;VS-026;Prompts and resources;Prompts versionados y resources.;PLANNED;VS-025
18;F2-MCP;VS-027;MCP conformance;Conformance, malformed inputs y fuzzing.;PLANNED;VS-026
19;F2-MCP;VS-028;MCP security sandbox;Paths, files, quotas y policy.;PLANNED;VS-027
20;F3-OPENCODE;VS-030;OpenCode compatibility;Health y feature detection.;PLANNED;VS-028
21;F3-OPENCODE;VS-031;Session lifecycle;Create, prompt, status y abort.;PLANNED;VS-030
22;F3-OPENCODE;VS-032;SSE reconciliation;Eventos, polling y recovery.;PLANNED;VS-031
23;F3-OPENCODE;VS-033;Agent tool profiles;Perfiles por workflow.;PLANNED;VS-032
24;F3-OPENCODE;VS-034;Model benchmarks;Benchmarks y restricciones por rol.;PLANNED;VS-033
25;F3-OPENCODE;VS-035;Context compiler;Manifest, presupuesto y trust labels.;PLANNED;VS-034
26;F4-AUTOPILOT;VS-040;Transactional Outbox;Eventos idempotentes.;PLANNED;VS-035
27;F4-AUTOPILOT;VS-041;Scheduler and jobs;Jobs, leases y prioridades.;PLANNED;VS-040
28;F4-AUTOPILOT;VS-042;Worker execution;Heartbeat, timeout y retry.;PLANNED;VS-041
29;F4-AUTOPILOT;VS-043;Workflow catalog;Definiciones versionadas.;PLANNED;VS-042
30;F4-AUTOPILOT;VS-044;Human gate inbox;Decisiones y reanudación.;PLANNED;VS-043
31;F4-AUTOPILOT;VS-045;Pause resume cancel;Controles operativos.;PLANNED;VS-044
32;F4-AUTOPILOT;VS-046;Dead letter recovery;Reparación y restart.;PLANNED;VS-045
33;F4-AUTOPILOT;VS-047;Concurrency limits;Locks, budgets y paralelo seguro.;PLANNED;VS-046
34;F5-AUTHORING;VS-050;Project journey;Crear proyecto desde UI.;PLANNED;VS-047
35;F5-AUTHORING;VS-051;Discovery journey;Preguntas y decisiones.;PLANNED;VS-050
36;F5-AUTHORING;VS-052;Editorial proposal;Propuestas y aprobación.;PLANNED;VS-051
37;F5-AUTHORING;VS-053;Specification lifecycle;Prepare, commit, approve y version.;PLANNED;VS-052
38;F5-AUTHORING;VS-054;Book planning;Partes, capítulos y restricciones.;PLANNED;VS-053
39;F5-AUTHORING;VS-055;Scene planning;ScenePlan y paragraph flow.;PLANNED;VS-054
40;F6-COHERENCE;VS-060;Scene generation;Brief, modelo y registro.;PLANNED;VS-055
41;F6-COHERENCE;VS-061;Paragraph coherence;Checks locales.;PLANNED;VS-060
42;F6-COHERENCE;VS-062;Scene coherence;Causalidad, beats y exit state.;PLANNED;VS-061
43;F6-COHERENCE;VS-063;Transition audit;Transiciones de párrafo, escena y capítulo.;PLANNED;VS-062
44;F6-COHERENCE;VS-064;Knowledge state;Hechos, creencias y secretos.;PLANNED;VS-063
45;F6-COHERENCE;VS-065;Character object state;Estados e inventario.;PLANNED;VS-064
46;F6-COHERENCE;VS-066;Timeline plot threads;Cronología y tramas.;PLANNED;VS-065
47;F6-COHERENCE;VS-067;Repair patches;Corrección localizada.;PLANNED;VS-066
48;F6-COHERENCE;VS-068;Chapter gate lock;Auditoría, aprobación y lock.;PLANNED;VS-067
49;F6-COHERENCE;VS-069;Memory commit;MemoryDelta transaccional.;PLANNED;VS-068
50;F6-COHERENCE;VS-070;Cross chapter audit;Coherencia global.;PLANNED;VS-069
51;F7-PROFESSIONAL;VS-080;Editorial pass orchestration;Plan de pasadas y gates.;PLANNED;VS-070
52;F7-PROFESSIONAL;VS-081;Developmental editing;Promesa y estructura.;PLANNED;VS-080
53;F7-PROFESSIONAL;VS-082;Structural content editing;Orden, profundidad y huecos.;PLANNED;VS-081
54;F7-PROFESSIONAL;VS-083;Voice line editing;Voz, claridad y ritmo.;PLANNED;VS-082
55;F7-PROFESSIONAL;VS-084;Dialogue editing;Subtexto y turnos.;PLANNED;VS-083
56;F7-PROFESSIONAL;VS-085;Themes pacing;Curvas, tensión y motivos.;PLANNED;VS-084
57;F7-PROFESSIONAL;VS-086;Copyedit proofreading;Lengua y ortotipografía.;PLANNED;VS-085
